,name,rating,reviews,benefits
446,Thomson Reuters,4.2,1.4k,234
447,Akums Drugs & Pharmaceuticals,4.1,1.4k,160
448,ESAF Microfinance & Investments (P),3.9,1.4k,109
449,Taurus BPO Services,4.6,1.4k,524
450,AECOM,4.3,1.4k,254
451,Uflex,3.8,1.4k,123
452,Intellect Design Arena,4.1,1.4k,187
453,SAP,4.3,1.4k,313
454,CMA CGM,4.1,1.4k,229
455,TVS Sundram Fasteners,3.8,1.4k,213
456,Citibank,4.0,1.4k,214
457,Cargill,4.2,1.4k,160
458,Google,4.4,1.4k,142
459,IDBI Bank,3.7,1.4k,141
460,Microsoft Corporation,4.1,1.4k,221
461,SGS,4.0,1.4k,191
462,Honda,4.2,1.4k,211
463,Dr Lal PathLabs,4.2,1.4k,199
464,Reliance General Insurance,3.9,1.4k,135
465,Novartis,4.1,1.4k,242
466,Renault Nissan Technology & Business Centre India,3.9,1.4k,236
467,Optum Global Solutions,4.1,1.4k,182
468,TCE,3.8,1.4k,169
469,L&T Energy Hydrocarbon,3.9,1.4k,204
470,Kotak Securities,3.7,1.4k,156
471,Meesho,3.7,1.4k,288
472,Narayana Health,4.2,1.4k,144
473,AXA Business Services,3.8,1.4k,171
474,Big Bazaar,4.3,1.4k,192
475,Honeywell Automation,3.8,1.4k,165
476,Xoriant,3.9,1.4k,436
477,YASH Technologies,3.8,1.4k,179
478,Spark Minda,3.9,1.4k,43
479,SBI General Insurance,3.9,1.4k,139
480,BA Continuum,4.3,1.4k,304
481,Wockhardt,3.9,1.4k,183
482,Apollo Pharmacy,3.9,1.4k,128
483,MetLife,4.3,1.4k,244
484,Vedantu,3.4,1.4k,163
485,CMS Infosystems,3.7,1.4k,102
486,Tata Play,4.1,1.4k,184
487,Philips,3.9,1.4k,189
488,NCR Corporation,4.1,1.4k,185
489,Aragen Life Sciences,4.1,1.4k,331
490,Niva Bupa Health Insurance Company,3.7,1.4k,125
491,Biological E,4.3,1.4k,231
492,Vardhman Fabrics,4.1,1.4k,151
493,G R Infraprojects,4.2,1.4k,166
494,Frankfinn Institute of Air Hostess Training,4.0,1.4k,193
495,Crisil,3.7,1.4k,238
496,Safexpress,4.2,1.4k,150
497,Exl India,3.6,1.3k,170
498,Innovsource Services,4.0,1.3k,127
499,Microland,3.6,1.3k,165
500,Panasonic Life Solutions,4.1,1.3k,106
501,Allstate,4.0,1.3k,207
502,Amazon Transportation Services,4.2,1.3k,260
503,SBI Securities,3.9,1.3k,109
504,PHN Technology,4.6,1.3k,25
505,R.R. Donnelley,4.1,1.3k,--
506,Metro Cash & Carry,4.2,1.3k,169
507,Angel One,3.9,1.3k,155
508,Matrimony.com,4.4,1.3k,86
